;;SizeMX;SizeJVM;SizeInstr
Size;Type;Value;Value;Value
100000;byte[];-208584.0;-219120.0;100016.0
100000;Byte[];412608.0;405152.0;400016.0
100000;int[];403728.0;400016.0;400016.0
100000;Integer[];2006000.0;1997968.0;400016.0
100000;long[];803280.0;800016.0;800016.0
100000;Long[];2811888.0;2804128.0;400016.0
200000;byte[];200016.0;200016.0;200016.0
200000;Byte[];800016.0;800016.0;800016.0
200000;int[];800016.0;800016.0;800016.0
200000;Integer[];3997968.0;3997968.0;800016.0
200000;long[];1600016.0;1600016.0;1600016.0
200000;Long[];5596944.0;5596944.0;800016.0
300000;byte[];300016.0;300016.0;300016.0
300000;Byte[];1200016.0;1200016.0;1200016.0
300000;int[];1200016.0;1200016.0;1200016.0
300000;Integer[];5997968.0;5997968.0;1200016.0
300000;long[];2400016.0;2400016.0;2400016.0
300000;Long[];8396944.0;8396944.0;1200016.0
400000;byte[];400016.0;400016.0;400016.0
400000;Byte[];1600016.0;1600016.0;1600016.0
400000;int[];1600016.0;1600016.0;1600016.0
400000;Integer[];7997968.0;7997968.0;1600016.0
400000;long[];3200016.0;3200016.0;3200016.0
400000;Long[];1.1196944E7;1.1196944E7;1600016.0
500000;byte[];500016.0;500016.0;500016.0
500000;Byte[];2000016.0;2000016.0;2000016.0
500000;int[];2000016.0;2000016.0;2000016.0
500000;Integer[];9997968.0;9997968.0;2000016.0
500000;long[];4000016.0;4000016.0;4000016.0
500000;Long[];1.3996944E7;1.3996944E7;2000016.0
600000;byte[];600016.0;600016.0;600016.0
600000;Byte[];2400016.0;2400016.0;2400016.0
600000;int[];2400016.0;2400016.0;2400016.0
600000;Integer[];1.1997968E7;1.1997968E7;2400016.0
600000;long[];4800016.0;4800016.0;4800016.0
600000;Long[];1.6796944E7;1.6796944E7;2400016.0
700000;byte[];700016.0;700016.0;700016.0
700000;Byte[];2800016.0;2800016.0;2800016.0
700000;int[];2800016.0;2800016.0;2800016.0
700000;Integer[];1.3997968E7;1.3997968E7;2800016.0
700000;long[];5600016.0;5600016.0;5600016.0
700000;Long[];1.9596944E7;1.9596944E7;2800016.0
800000;byte[];800016.0;800016.0;800016.0
800000;Byte[];3200016.0;3200016.0;3200016.0
800000;int[];3200016.0;3200016.0;3200016.0
800000;Integer[];1.5997968E7;1.5997968E7;3200016.0
800000;long[];6400016.0;6400016.0;6400016.0
800000;Long[];2.2396944E7;2.2396944E7;3200016.0
900000;byte[];900016.0;900016.0;900016.0
900000;Byte[];3600016.0;3600016.0;3600016.0
900000;int[];3600016.0;3600016.0;3600016.0
900000;Integer[];1.7997968E7;1.7997968E7;3600016.0
900000;long[];7200016.0;7200016.0;7200016.0
900000;Long[];2.5196944E7;2.5196944E7;3600016.0
1000000;byte[];1000016.0;1000016.0;1000016.0
1000000;Byte[];4000016.0;4000016.0;4000016.0
1000000;int[];4000016.0;4000016.0;4000016.0
1000000;Integer[];1.9997968E7;1.9997968E7;4000016.0
1000000;long[];8000016.0;8000016.0;8000016.0
1000000;Long[];2.7996944E7;2.7996944E7;4000016.0
1100000;byte[];1100016.0;1100016.0;1100016.0
1100000;Byte[];4400016.0;4400016.0;4400016.0
1100000;int[];4400016.0;4400016.0;4400016.0
1100000;Integer[];2.1997968E7;2.1997968E7;4400016.0
1100000;long[];8800016.0;8800016.0;8800016.0
1100000;Long[];3.0796944E7;3.0796944E7;4400016.0
1200000;byte[];1200016.0;1200016.0;1200016.0
1200000;Byte[];4800016.0;4800016.0;4800016.0
1200000;int[];4800016.0;4800016.0;4800016.0
1200000;Integer[];2.3997968E7;2.3997968E7;4800016.0
1200000;long[];9600016.0;9600016.0;9600016.0
1200000;Long[];3.3596944E7;3.3596944E7;4800016.0
1300000;byte[];1300016.0;1300016.0;1300016.0
1300000;Byte[];5200016.0;5200016.0;5200016.0
1300000;int[];5200016.0;5200016.0;5200016.0
1300000;Integer[];2.5997968E7;2.5997968E7;5200016.0
1300000;long[];1.0400016E7;1.0400016E7;1.0400016E7
1300000;Long[];3.6396944E7;3.6396944E7;5200016.0
1400000;byte[];1400016.0;1400016.0;1400016.0
1400000;Byte[];5600016.0;5600016.0;5600016.0
1400000;int[];5600016.0;5600016.0;5600016.0
1400000;Integer[];2.7997968E7;2.7997968E7;5600016.0
1400000;long[];1.1200016E7;1.1200016E7;1.1200016E7
1400000;Long[];3.9196944E7;3.9196944E7;5600016.0
1500000;byte[];1500016.0;1500016.0;1500016.0
1500000;Byte[];6000016.0;6000016.0;6000016.0
1500000;int[];6000016.0;6000016.0;6000016.0
1500000;Integer[];2.9997968E7;2.9997968E7;6000016.0
1500000;long[];1.2000016E7;1.2000016E7;1.2000016E7
1500000;Long[];4.1996944E7;4.1996944E7;6000016.0
1600000;byte[];1600016.0;1600016.0;1600016.0
1600000;Byte[];6400016.0;6400016.0;6400016.0
1600000;int[];6400016.0;6400016.0;6400016.0
1600000;Integer[];3.1997968E7;3.1997968E7;6400016.0
1600000;long[];1.2800016E7;1.2800016E7;1.2800016E7
1600000;Long[];4.4796944E7;4.4796944E7;6400016.0
1700000;byte[];1700016.0;1700016.0;1700016.0
1700000;Byte[];6800016.0;6800016.0;6800016.0
1700000;int[];6800016.0;6800016.0;6800016.0
1700000;Integer[];3.3997968E7;3.3997968E7;6800016.0
1700000;long[];1.3600016E7;1.3600016E7;1.3600016E7
1700000;Long[];4.7596944E7;4.7596944E7;6800016.0
1800000;byte[];1800016.0;1800016.0;1800016.0
1800000;Byte[];7200016.0;7200016.0;7200016.0
1800000;int[];7200016.0;7200016.0;7200016.0
1800000;Integer[];3.5997968E7;3.5997968E7;7200016.0
1800000;long[];1.4400016E7;1.4400016E7;1.4400016E7
1800000;Long[];5.0396944E7;5.0396944E7;7200016.0
1900000;byte[];1900016.0;1900016.0;1900016.0
1900000;Byte[];7600016.0;7600016.0;7600016.0
1900000;int[];7600016.0;7600016.0;7600016.0
1900000;Integer[];3.7997968E7;3.7997968E7;7600016.0
1900000;long[];1.5200016E7;1.5200016E7;1.5200016E7
1900000;Long[];5.3196944E7;5.3196944E7;7600016.0
2000000;byte[];2000016.0;2000016.0;2000016.0
2000000;Byte[];8000016.0;8000016.0;8000016.0
2000000;int[];8000016.0;8000016.0;8000016.0
2000000;Integer[];3.9997968E7;3.9997968E7;8000016.0
2000000;long[];1.6000016E7;1.6000016E7;1.6000016E7
2000000;Long[];5.5996944E7;5.5996944E7;8000016.0
