;;Time;Time
Size;Method;Arithmetic Mean;Standard Deviation
100000;ColtMergeSort;1.68717344E7;1996647.629115348
100000;ColtQuickSort;2455544.75;4815794.216634312
100000;JavaQuickSort;1.43441418E7;1.100053633160456E7
200000;ColtMergeSort;3.245696825E7;3176739.1862106794
200000;ColtQuickSort;1468001.6;599846.6717854155
200000;JavaQuickSort;2.285689435E7;1955821.5472605694
300000;ColtMergeSort;4.953498135E7;1265261.8748274317
300000;ColtQuickSort;2605965.25;818671.3913408649
300000;JavaQuickSort;3.468008535E7;1062083.1762065191
400000;ColtMergeSort;7.20371589E7;1.313791579987174E7
400000;ColtQuickSort;2786187.15;1134705.6319138138
400000;JavaQuickSort;4.894692345E7;2713442.17670671
500000;ColtMergeSort;8.72784616E7;1353202.203878282
500000;ColtQuickSort;3842180.6;1128157.0017989695
500000;JavaQuickSort;5.958151245E7;1250298.351076393
600000;ColtMergeSort;1.071895672E8;4851670.059408282
600000;ColtQuickSort;4653423.3;1839464.1657797822
600000;JavaQuickSort;7.238373065E7;1434655.2105669598
700000;ColtMergeSort;1.2701564825E8;1.63498385272208E7
700000;ColtQuickSort;5618158.05;2105617.9833369935
700000;JavaQuickSort;8.52969831E7;1538366.8966379217
800000;ColtMergeSort;1.4268855255E8;2501880.545811999
800000;ColtQuickSort;5930358.5;1888013.121999381
800000;JavaQuickSort;9.842860215E7;1723305.6905577222
900000;ColtMergeSort;1.6645003745E8;1.143480516621953E7
900000;ColtQuickSort;7288337.1;2438997.132152125
900000;JavaQuickSort;1.140763782E8;4939895.126387793
1000000;ColtMergeSort;1.88440249E8;2.2527932215081926E7
1000000;ColtQuickSort;7557600.5;2225769.7349476316
1000000;JavaQuickSort;1.2846081575E8;9397615.796178257
1100000;ColtMergeSort;2.053937651E8;5387262.12463561
1100000;ColtQuickSort;8226652.7;3733342.165644493
1100000;JavaQuickSort;1.3952659335E8;2087577.3429144672
1200000;ColtMergeSort;2.255167356E8;5244184.066772289
1200000;ColtQuickSort;8119348.5;3410485.9888956663
1200000;JavaQuickSort;1.5732042345E8;6263394.792964767
1300000;ColtMergeSort;2.488736002E8;2.8634867194774576E7
1300000;ColtQuickSort;9373877.3;4774091.5610992955
1300000;JavaQuickSort;1.6885356925E8;3424027.22909373
1400000;ColtMergeSort;2.6679727635E8;9436272.155015461
1400000;ColtQuickSort;8257467.15;3768305.52548961
1400000;JavaQuickSort;1.867850023E8;1.2191502658329373E7
1500000;ColtMergeSort;2.8894015905E8;3.808809987984721E7
1500000;ColtQuickSort;1.070590645E7;4144188.7099557677
1500000;JavaQuickSort;1.964681172E8;8013229.836803656
1600000;ColtMergeSort;3.097978757E8;1.3811681144780627E7
1600000;ColtQuickSort;1.20699388E7;4751361.999594565
1600000;JavaQuickSort;2.1631110195E8;1.0672406935266731E7
1700000;ColtMergeSort;3.3232858645E8;2.7484593065071173E7
1700000;ColtQuickSort;1.30624385E7;4316396.4460864635
1700000;JavaQuickSort;2.251679042E8;7333192.084871108
1800000;ColtMergeSort;3.6358111255E8;2.026206078634913E7
1800000;ColtQuickSort;1.36910344E7;4482909.944551868
1800000;JavaQuickSort;2.374050717E8;3402662.3780336054
1900000;ColtMergeSort;3.688111637E8;3285497.680767879
1900000;ColtQuickSort;1.631285135E7;5940158.015015857
1900000;JavaQuickSort;2.5490966465E8;1.2814436814576551E7
2000000;ColtMergeSort;3.9299195075E8;9575267.067087475
2000000;ColtQuickSort;1.59246891E7;5822618.2566716485
2000000;JavaQuickSort;2.6572683885E8;3597489.489629668
